ID,cartel,fine_case,y0,appear_d,appear_fas,appear_3,ecm_arg,mark_reg,length_pages,len_days,app_cass,MicroP,SmallP,MedP,LargeP,MSP,final_y,fine
А56-31536/2017,1,1,1,1,0,0,0,3,4,454,2,1,0,0,0,1,1,2029841.48
А03-2271/2018,1,1,1,1,1,0,0,2,8,150,1,1,0,0,0,1,1,1124983.00
А52-4946/2017,0,0,0,1,1,0,0,1,25,443,1,1,0,0,0,1,0,0
А82-12817/2017,0,0,0,1,1,1,1,1,12,517,1,0,0,0,1,0,0,0
А40-20976/18,0,0,1,1,1,0,0,3,7,386,3,0,0,0,1,0,0,0
А41-14001/2018,1,1,0,0,0,0,0,1,8,163,1,0,0,1,0,1,1,100000.00
А15-750/2018,0,0,0,1,1,0,0,0,10,301,1,0,0,0,1,0,0,0
А58-401/2018,0,0,0,1,1,1,0,0,16,315,1,0,0,0,1,0,0,0
А40-73003/18,1,1,0,1,1,0,0,3,6,154,1,0,0,0,1,0,0,10513865.87
А56-14051/2018,0,1,0,1,0,0,0,0,4,259,1,0,0,0,1,0,0,650000.00
А40-41377/18,0,0,0,1,1,0,0,2,8,80,0,0,0,0,1,0,0,0
А40-72898/18,1,1,0,1,1,0,0,3,6,86,1,0,0,0,1,0,0,21027731.75
А40-34061/18,1,1,0,0,1,0,0,3,5,91,0,0,1,0,0,1,0,4058840.00
А57-6509/2017,0,0,0,1,1,0,1,1,23,456,1,1,0,0,0,1,0,0
А57-26901/2017,0,0,1,1,1,0,0,2,9,391,3,0,1,0,0,1,0,0
А40-65503/18,1,1,0,1,1,0,0,2,6,127,1,1,0,0,0,1,0,4620725.20
А44-2104/2018,0,1,0,1,1,0,0,0,11,262,1,0,0,0,1,0,1,18686403.96
А40-36669/18,0,0,0,1,1,1,0,2,8,377,1,0,0,0,1,0,0,0
А40-238628/17,0,0,1,1,1,1,1,3,17,350,2,0,0,0,1,0,1,0
А40-30670/18,0,0,0,1,1,1,0,2,9,190,1,0,0,0,1,0,0,0
А38-1961/2018,0,0,0,1,1,0,0,0,11,166,1,0,1,0,0,1,0,0
А32-2784/18,0,0,0,1,1,0,0,0,9,285,1,0,0,1,0,1,0,0
А44-1319/2018,1,0,0,1,1,0,0,2,9,348,1,0,0,0,1,0,0,0
А32-56345/17,0,1,0,1,1,0,0,0,9,204,1,0,0,0,1,0,0,100000.00
А38-13147/2017,0,1,0,0,1,0,0,1,12,163,0,1,0,0,0,1,0,248070.39
А20-5440/2017,0,0,0,1,1,0,0,0,11,401,1,0,0,0,1,0,0,0
А76-4529/2018,1,1,0,0,1,0,0,1,10,70,0,1,0,0,0,1,0,0
А40-150340/17,0,1,1,1,0,0,0,1,5,255,0,0,0,0,1,0,1,650000.00
А58-9979/2017,0,0,1,1,1,0,0,1,17,344,2,1,0,0,0,1,1,0
А40-95201/18,0,0,0,1,1,1,0,0,10,34,0,0,0,0,1,0,0,0
А40-209057/17,1,1,0,1,1,0,0,1,3,212,0,1,0,0,0,1,0,1370906.88
А40-38609/18,0,0,1,1,1,1,0,0,7,365,2,0,0,0,1,0,0,0
А65-28770/2017,0,1,1,0,1,0,0,1,4,273,0,1,0,0,0,1,1,650000.00
А33-16080/2017,1,1,1,1,1,0,0,3,9,328,0,1,0,0,0,1,1,285572.66
А18-66/17,0,0,1,1,1,1,0,1,7,0,0,0,0,0,1,0,1,0
А21-3071/2018,0,0,0,1,1,1,0,0,6,199,1,0,0,0,1,0,0,0
А18-462/17,0,1,1,1,1,1,0,1,3,351,0,0,0,0,1,0,1,0
А29-1946/2018,0,1,1,1,1,0,0,0,12,227,2,0,0,0,1,0,1,87575510.14
А53-5862/18,1,1,0,1,1,0,0,1,7,89,0,1,0,0,0,1,0,50000.00
А40-48087/18,0,0,0,1,1,1,0,0,13,316,1,0,0,0,1,0,0,0
А33-34406/2017,0,0,0,1,1,0,0,1,20,155,0,1,0,0,0,1,0,0
А15-803/2018,0,0,0,1,1,0,0,2,10,274,1,0,0,0,1,0,0,0
А59-1963/2018,0,1,1,0,0,0,0,1,20,57,0,1,0,0,0,1,1,100000.00
А46-7031/2018,0,1,1,1,1,0,0,1,6,34,0,0,1,0,0,1,1,300000.00
А05-5325/2018,0,1,1,1,1,1,0,2,11,23,0,0,0,0,1,0,1,650000.00
А17-8336/2017,0,0,0,1,1,0,0,0,18,364,1,0,1,0,0,1,0,0
А10-3974/2017,0,0,0,1,0,0,0,0,12,498,1,0,0,0,1,0,1,0
А33-28932/2017,0,0,0,1,1,0,0,1,10,266,0,1,0,0,0,1,0,0
А56-110130/2017,0,0,0,0,1,0,0,0,9,411,3,0,0,0,1,0,1,0
А40-81507/18,0,0,0,1,1,1,0,2,13,160,1,0,0,0,1,0,0,0
А34-2785/2018,0,1,1,1,1,0,0,2,6,60,0,1,0,0,0,1,1,562500.00
А33-3018/2018,1,1,1,1,1,0,0,1,13,113,0,1,0,0,0,1,1,213401.00
А75-1658/2018,0,1,0,1,1,0,0,1,7,348,1,0,1,0,0,1,0,2264072.57
А82-5944/2018,0,0,0,1,1,0,0,1,7,217,1,1,0,0,0,1,0,0
А40-30443/18,0,0,0,1,1,1,0,0,15,358,1,0,0,0,1,0,0,0
А10-7410/2017,0,1,0,1,0,0,0,0,10,396,1,0,0,0,1,0,0,265214.00
А71-481/2018,1,0,0,1,1,0,0,1,24,335,1,1,0,0,0,1,0,4491992.64
А51-29535/2017,0,0,1,1,1,1,0,0,27,366,2,0,1,0,0,1,1,0
А56-15775/2018,0,1,1,1,1,0,0,0,5,132,0,0,0,0,1,0,1,226842.00
А62-2120/2018,0,1,1,1,1,0,0,1,6,82,0,1,0,0,0,1,1,320519.00
А27-3143/2018,1,1,0,1,1,0,1,2,12,349,1,1,0,0,0,1,1,0
А40-58829/18,0,0,0,1,1,0,0,0,14,350,1,0,0,0,1,0,0,0
А74-3555/2018,1,0,1,1,1,0,0,0,16,179,2,1,0,0,0,1,1,0
А03-18960/2017,0,1,1,1,1,0,0,0,12,231,0,0,0,0,1,0,1,100000.00
А42-6919/2017,0,0,0,1,1,0,0,1,72,552,1,1,0,0,0,1,0,0
А33-9170/2018,1,1,1,1,1,0,0,1,12,70,0,1,0,0,0,1,1,270400.00
А59-1892/2018,0,1,0,1,1,0,0,1,22,82,0,0,1,0,0,1,0,527652.55
А53-12180/2018,0,0,0,1,1,0,0,0,8,209,1,0,0,0,1,0,0,0
А82-22685/2017,0,1,1,1,1,0,0,0,8,286,1,0,0,0,1,0,1,133161.86
А03-19481/2017,0,0,0,1,1,1,0,1,20,429,1,1,0,0,0,1,0,0
А82-3328/2018,0,1,0,1,1,1,0,0,8,189,1,0,0,1,0,1,0,475000.00
А65-21519/2017,1,1,1,0,1,0,0,2,4,338,0,0,1,0,0,1,1,23000000.00
А82-2852/2018,0,1,0,1,1,0,0,0,8,195,1,0,0,1,0,1,0,650000.00
А40-20924/18,0,0,0,1,1,1,0,0,8,386,1,0,0,0,1,0,0,0
А53-3850/18,0,0,0,1,1,1,0,0,11,336,1,0,0,0,1,0,0,737500.00
